번호,제목,생산일,조회수,내용번호
74,"도시기반시설본부 위치, 사업자등록번호",2007-01-07,8499,2895623
75,"[교통정보] 서울시내 및 수도권(고속도로진입)의 교통소통,통제,집회정보 문의처는?",2007-01-07,9405,2894874
76,차상위계층 의료급여 선정방법과 절차는 어떻게 되나요?,2007-01-07,11835,2895510
77,부서에 직원 이동이 있는 경우 전자문서 조직도에 등록하려면 어떻게 해야 하나요?,2007-01-08,492,2897668
78,수도권 대기환경 개선에 관한 특별법의 주요 내용은 무엇입니까?,2007-01-22,1641,2896574
79,서울의 대기질 개선목표는?,2007-01-22,1179,2897005
80,대기환경개선에 관한 시행계획 작성 시기는?,2007-01-22,433,2896206
81,[어린이집 운영] 영아반과 유아반을 혼합 운영할 경우 운영비 지원,2007-01-23,820,2898597
82,50인이상을 보육하는 시설에서 놀이터 사용규정에 관련된 사항은?,2007-01-23,764,2895782
83,어린이집 시설장의 겸직 가능여부 및 초등교사 시설장 자격 인정여부,2007-01-23,2264,2895959
84,"[어린이집 운영] 국공립과 민간시설의 월급제 보육시설장인 경우, 고용보험과 산재보험이 가입이 가능한가요?",2007-01-23,2215,2897013
85,청산금관리시스템은 어떤 시스템인가요?,2007-01-23,379,2895572
86,행정정보공동이용센터는 어떻게 운영되나요?,2007-01-23,1696,2895568
87,배기가스 배출차량관리는 어떤 시스템인가요?,2007-01-23,619,2894373
88,증명발급관리시스템은 어떤 시스템인가요?,2007-01-23,476,2895571
89,행정정보공동이용센터의 행정정보공동활용을 하고자 하면 어떻게 하나요?,2007-01-23,782,2895569
90,정부 차관회의 개최,2007-01-24,366,2894152
91,국외거주자입니다. 민원서류를 발급받을 수 있나요?,2007-01-24,328,2894856
92,외국에서 민원서류를 발급받으려면?,2007-01-24,1029,2896225
93,중심지형 재정비촉진지구현황 및 사업방식은 무엇인가요?,2007-01-24,304,2894367
94,유효기간 미표시 된 상품권은 사용할 수 없나요?,2007-01-24,824,2894700
95,서울시 생활체육지도자 채용,2007-01-26,2701,2897256
96,"시,구청 공무원 직위별 직급체계",2007-01-30,78495,2895379
97,단말기에서 교통카드 인식은 어떻게 하나요?,2007-02-22,6006,2896647
