번호,제목,생산일,조회수,내용번호
459,"국민임대, 공공임대,영구임대는 어떤 차이가 있나요?",2009-03-09,9971,2894617
460,택시 자격증 취득했으나 2~3년 운수업체에 종사하지 않으면 취소되나요?,2009-03-09,1822,2895258
461,해치택시 안내,2009-03-09,4009,2897839
462,보금자리주택(뉴플러스)이란?,2009-03-12,1226,2895803
463,"가족이 사망할경우 재산상속,세금납부등 필요한 후속조치는??",2009-03-16,10706,2895492
464,도로상의 교통량 통계를 알 수 있을까요?,2009-03-20,438,18545508
465,다문화가정 한글(사이버) 교육 문의,2009-03-29,630,2898213
466,패션지원센터 지원 문의,2009-03-30,382,2896319
467,운전면허 학원을 낼려고 하는데 어디로 하나요?,2009-04-01,2049,2894560
468,비둘기 포획 문의(집비둘기 유해 야생동물 지정문의),2009-04-02,6275,2894706
469,장애인 활동보조인 교육기관 문의,2009-04-02,10713,17609967
470,서울수화전문교육원,2009-04-02,2545,2896931
471,[등기소]등기권리증(집문서) 분실,2009-04-07,26160,2895424
472,서울 소재 지역아동복지센터 시설현황,2009-04-14,9088,2896925
473,소방관의 기도란 시를 개인적으로 활용해도 됩니까?,2009-04-21,618,2894423
474,탈북청소년을 위한 학교는?,2009-04-22,515,2895034
475,[위험물_설치허가] 주유소 고정급유설비에서 방화벽까지 거리는?,2009-04-23,878,2898503
476,[위험물_완공검사] 이동탱크저장소 운행중 완공필증 지참여부?,2009-04-23,942,2898510
477,공항내 택시 불법영업 신고,2009-04-23,3473,2898362
478,잔류물질 모니터링 검사와 규제검사의 차이를 설명해 주세요,2009-04-28,660,2895729
479,모색유전자검사법(MC1R)이란 무엇인가요?,2009-04-28,922,2895730
480,서울특별시를 한자로 표기하는 방법은 무엇입니까?,2009-05-16,9320,2895387
481,지역별 전문건설회관(전문건설공제조합) 위치 안내,2009-05-21,3931,2895253
482,CNG(압축천연가스)에 관한 문의,2009-05-21,2642,2898137
483,서울시 장애아동사회적응지원센터는?,2009-05-21,1955,2896902
484,"[사행산업 통합감독위원회] 사행성 불법 경마,경륜,경정,카지노 신고문의",2009-05-21,2562,2897742
485,서울시 지명사전 구입은 어디서 하나요 ?,2009-05-21,668,2894943
486,시각장애인 점자 주민등록증 발급,2009-05-21,1237,2895279
487,근로자의 날은 법정 공휴일이 아닌가요?,2009-05-26,12409,2896558
488,[관광정보] 신사동 가로수길,2009-05-27,1054,2895444
489,서울곰두리체육센터 이용안내,2009-05-27,7656,2896996
490,세운상가 재정비후 생기는 공원 세운초록띠공원에 대해 알려주세요,2009-06-04,2021,2898525
491,강남순환고속도로와 연결되는 신림~봉천터널,2009-07-06,9646,2895606
492,Now Start (나우 스타트) 사업,2009-07-13,570,17744951
493,서울시에서 발행되는 고지서 건수는 몇 건이나 되나요,2009-07-15,210,2896980
494,"서울 동서, 남북 길이는?",2009-07-23,9409,2894456
495,광진교 걷고싶은 다리 안내 (광진교 8번가),2009-08-05,1182,2894370
496,[송파구 근저당말소]시영 아파트 등기부등본에 서울시 근저당이 설정되어 있는데 등기 말소 절차는요?,2009-08-13,1042,2896792
497,[송파구 국민주택사업비]국민주택사업비 서울시 융자금을 기일내 납부하지 못했 는데 어떻게 해야 하나요 ?,2009-08-13,146,2896855
498,주택재건축사업인 경우 세입자도 이주비를 받을 수 있는지?,2009-08-13,2584,2896751
499,송파문화예술센터 건립 추진계획은?,2009-08-13,17,25740918
500,도시계획시설사업 공고문 확인은?,2009-08-19,297,2894885
501,(노원구 성북역세권) 성북역세권개발사업의 추진현황 및 추후 계획은?,2009-08-19,1417,2896285
502,학적 서류에 대한 영사확인은 어디에서 받을 수 있나요?,2009-08-19,1185,2897228
503,자동차 번호판 가리면 신고 가능한가요?,2009-08-19,4682,2894928
504,행정서비스헌장제는 무엇입니까?,2009-08-19,165,2897066
505,성북구 행정서비스헌장을 어떻게 구성되어 있나요?,2009-08-19,148,2897067
506,[자동차검사정비사업조합] 차량검사소 구별조회는?,2009-08-21,1471,2896886
507,현장에서 본 주택재개발사업 실무편람을 발간하셨다고 하는데 어떤내용이며 어떻게 얻을 수 있나요?,2009-08-21,505,2894993
508,주소를 정정하고 싶은데 절차 및 서류를 알고 싶어요?,2009-08-21,872,2896521
509,왕십리 민자역사 주소 알고싶어요 …,2009-08-22,560,2898152
510,종암동 『북바위 산신제례』는 ?,2009-08-24,152,2897236
511,약국개설자가 장기간 해외 체류 등으로 자신의 약국을 관리할 수 업는 경우 약국관리자를 지정하여야 하는지 또는 폐업수리를 하여야 하는지 여부?,2009-08-24,557,2896832
512,"돈암2동 초등학교 쉬는 토요일(매월 2,4주) 자치회관 프로그램은 무엇이 있나요?",2009-08-24,302,2898173
513,성북동 장애시설은 무엇이 있나요?,2009-08-24,142,2897206
514,삼선동 소재 삼군부총무당은 어떻게 관리되고 있나요,2009-08-24,449,2895393
515,성북동 직능단체 현황,2009-08-24,934,2897210
516,성북구의 면적 등 일반현황은,2009-08-25,1089,2897246
517,성북색이란 무엇인가요?,2009-08-26,269,2896833
518,아라리길과 아리랑길은 같은 곳을 말하나요?,2009-08-26,157,2896834
519,전신주나 신호등에 엠보싱형태의 판이 둘러져 있던데 그게 무엇인가요?,2009-08-26,15,25132337
520,성북구위원회에서 하는 일은 무엇입니까?,2009-08-26,186,2898175
521,다자녀 가정 문화공연 관람료 등 각종 이용료 경감에 대한 문의,2009-08-26,401,2894505
522,민선7기 자치단체장 공약사업 추진현황은?,2009-08-26,168,2897238
523,어린이 축구교실 참여방법,2009-08-26,962,2898171
524,[렌트카] 렌트카 이용중 도로교통 위반을 하게 되면 책임은?,2009-08-27,2043,2894140
525,서울 도심 열섬현상이란?,2009-08-27,4208,2897211
526,'노원' 한자표기가 궁금합니다.,2009-08-28,876,2898409
527,한강에 미나리가 떠있어요,2009-08-29,352,2895018
528,도시가스사업법에 의한 가스사고배상책임보험가입 대상은 어떻게 됩니까?,2009-08-31,2129,2895050
529,용산구와 관련된 문의를 인터넷으로 하려면 어떻게 하나요?,2009-08-31,83,2896525
530,사용하고 남은 폐페인트를 어떻게 처리해야 하는지요?,2009-08-31,16219,2896186
531,장위1구역 현황,2009-08-31,1159,2897174
532,장위5구역 사업추진 현황,2009-08-31,1485,2896571
533,장위14구역 현황,2009-08-31,4761,2897175
534,균형발전촉진지구는 ?,2009-09-01,393,2898176
535,말소된 건축물도 건축물부존재증명서를 신청할 수 있나요?,2009-09-01,1783,2894438
536,민원후견인제도가무엇인지요,2009-09-01,258,2896526
537,지방재정투자심사제도가 어떤 제도인가요?,2009-09-01,309,2894990
538,금번에 도입된 공공관리자 시범사업은 어떤 제도입니까?,2009-09-01,350,2897783
539,용산구시설관리공단에서는 무슨 일을 하나요?,2009-09-01,2968,2894987
540,사업시행인가의 효과?,2009-09-01,224,2897830
541,이혼한 부부 중 한쪽이 자녀를 대리하여 다른 쪽의 증명서를 신청할 수 있나요,2009-09-01,366,2898170
542,부서별 양식을 다운로드 하고 싶어요.,2009-09-01,140,2896432
543,주요 구정현황은 어디서 열람이 가능한가요?,2009-09-01,205,2895752
544,용산구의 재정상태에 대해서 전반적으로 알고 싶은데요.,2009-09-02,88,2895753
545,낙상예방 안심경로당,2009-09-02,363,2898177
546,국민주택특별공급 보상범위는?,2009-09-02,393,2897840
547,무허가건물 지번정정시 필요서류는?,2009-09-02,284,2897841
548,무허가건물 추가등재신청시 구비서류는?,2009-09-02,1856,2897842
549,분양신청을 하지 아니한 자등에 대한 청산절차는?,2009-09-02,227,2897831
550,공단 직원채용시 구비서류는 어떤것이 있나요?,2009-09-02,680,2894985
551,용산구의 재정자립도는 어느 정도인가요?,2009-09-03,184,2896461
552,미아시장재건축 정비사업 - (서울시 건축허가 및 사용승인 완료),2009-09-03,900,2897087
553,길음1동 문고 운영 시간,2009-09-03,138,2897389
554,공산품 안전 인증 관리 대상 품목은 어떤게 있나요??,2009-09-03,5364,2897595
555,동 종합평가는 언제 실시합니까,2009-09-03,136,2898183
556,"어린이놀이시설 안전관리법의 설치검사는 무엇이며, 적용 시기는?",2009-09-03,136,2897872
557,어린이놀이시설 안전관리법의 설치검사를 통과하지 못한 시설에 대한 조치는?,2009-09-03,186,2897873
558,행정서비스 헌장 내용,2009-09-03,221,2895663
559,행정서비스 헌장의 위반시,2009-09-03,215,2895664
560,복약(服藥)지도 안내문 제공,2009-09-03,408,2894931
561,용산구의 건전한 직장만들기 운동은 무엇인가요?,2009-09-03,177,2897068
562,토지가 두개의 용도지역에 걸쳐있습니다. 이럴경우 어떻게 적용받나요?,2009-09-03,2106,2895064
563,시설관리공단 직원의 결격사유에는 어떤것이 있나?,2009-09-03,614,2894984
564,용산구 채무현황을 알고 싶습니다.,2009-09-04,173,2895754
565,아파트 구조변경에 관해서 알고 싶습니다.,2009-09-04,2638,2895065
566,용산구 총액인건비 규모는 어느 정도인가요?,2009-09-04,101,2896487
567,지역 직장 주택조합 조합원자격 판정기준중 주택소유여부 확인은?,2009-09-04,4513,2896648
568,여름철과 겨울철 청사 실내온도에 대하여 궁금한데 실내 적정 온도가 어떻게 되나요?,2009-09-04,480,2895662
569,왕십리 뉴타운에 대하여,2009-09-04,973,2896335
570,시민안전봉사자의 활동,2009-09-05,267,2895657
571,안전관련기관 사이트,2009-09-05,729,2895658
572,맞벌이 자녀 방과후 돌보미 사업의 운영시간은?,2009-09-06,466,2897936
573,4대 랜드마트 사업이 무엇인가요?,2009-09-06,433,2897999
574,생활가전의 에너지 절약 방법을 알려주세요,2009-09-06,364,2894917
575,성동구 의원들의 의정활동을 쉽게 알 수 있는 방법이 있나요?,2009-09-07,668,2895668
576,행정서포터스에 참여하고 싶은데 혹시 올해도 행정서포터스 계획이 있으신지요?,2009-09-07,97,2895640
577,수급자인데 해외에 다녀와야 할 것 같은데 수급자에서 제외되는 것은 아닌가요?,2009-09-07,317,2898168
578,수급자인신 독거노인인데 시설에 가면 어떻게 되나요?,2009-09-07,474,2895462
579,위임장의 정정날인이 가능한가요,2009-09-07,248,2898167
580,공동주택관리정보시스템에 공개된 정보를 보려면 회원가입을 해야 합니까?,2009-09-07,338,2897197
581,우리구 특별회계 규모에 대해서 알고 싶습니다.,2009-09-07,131,2896462
582,관리비 검색내용이 관리비부과내역서와 다릅니다. 왜 그런가요?,2009-09-07,348,2897188
583,삼선동 청소년공부방 강사는 어떤 분들인가요?,2009-09-07,309,2896867
584,용산구에서 운용하고 있는 기금의 종류에 대해 알려주세요.,2009-09-07,92,2896463
585,용산구 예비비 규모에 대해서 알려주세요.,2009-09-07,104,2896464
586,서울시 인센티브 사업이란 무엇인가요?,2009-09-07,407,2897938
587,"공사(물품, 용역) 계약하여 선금을 신청하려면 무슨 서류가 필요한가요?",2009-09-07,1063,2898000
588,길음1동 아파트별 번지 열람,2009-09-08,924,2896423
589,민간보육시설 서비스개선비 지원에 대한 문의,2009-09-08,338,2897939
590,구정개발팀에서는 무슨 일을 하나요?,2009-09-08,142,2898584
591,도봉운전면허시험장 이전 후 개발 계획은?,2009-09-08,5242,2896287
592,공무원연금관리공단 홈페이지에서 개인연금정보를 조회할 수 있는지?,2009-09-08,11198,2895414
593,교량이 뭔가요?,2009-09-09,219,2897607
594,"도로확장공사에 따라 토지의 일부 및 건물의 3분의1이 편입되어 건물의 기능을 상실 되었는바, 이에 대한 보상은 어떻게 되나요?",2009-09-09,966,2895488
595,측구가 뭔가요?,2009-09-09,5251,2897608
596,상계로란?,2009-09-09,351,2895093
597,Clean-1 서비스 제도란 무엇인가요,2009-09-09,228,2897390
598,민원처리시 주민불편사항을 모니터링하는 제도가 있나요?,2009-09-09,147,2897485
599,표지병이란?,2009-09-09,561,2897609
600,"마포로 4,5구역 도시환경정비사업 중 진행중인 사업현황은 어떻게 되는지요?",2009-09-09,1677,2897661
601,홍제천 음악분수 운영시간은 언제이며 어떤곡들이 나오나요?,2009-09-09,2974,2896904
602,서대문구는 타 구에 비해 어떤 특성이 있습니까?,2009-09-09,156,2897259
603,서대문구는 행정을 함에 있어 어떤 방향으로 나아가고자 합니까?,2009-09-09,266,2895913
604,서대문구는 편리하고 살기좋은 도시기반 구축을 위해 어떤 노력을 하고 있습니까?,2009-09-09,212,2897245
605,서대문구에서는 더불어 살아가는 복지공동체 구현을 위하여 어떤 노력을 하고있습니까?,2009-09-09,123,2897249
606,서대문구에서는 쾌적하고 아름다운 환경도시 건설을 위하여 어떤 노력을 하고 있습니까?,2009-09-09,89,2897250
607,서대문구에서는 건강하고 특색있는 지역문화 창달을 위하여 어떤 노력을 하고 있습니까?,2009-09-09,201,2897251
608,서대문구에서는 활기차고 발전적인 지역경제 육성을 위하여 어떤 노력을 하고 있습니까?,2009-09-09,109,2897252
609,마들지하차도 제원은?,2009-09-09,388,2897610
610,서대문구를 상징하는 것은 무엇이 있나요?,2009-09-09,140,2897254
611,&amp;amp;amp;apos;Clean-1 서비스&amp;amp;amp;apos;에서는 무엇을 모니터링하나요?,2009-09-09,457,2897392
612,허가 받지 않은 간판도 변경 가능 한가요?,2009-09-09,387,2897486
613,공릉터널 제원은?,2009-09-09,1015,2897611
614,특별회계란 무엇인가요?,2009-09-09,1696,2895702
615,명시이월이란 무엇입니까?,2009-09-09,738,2897296
616,사고이월 이란 무엇인가요?,2009-09-09,1246,2897297
617,계속비란 무엇입니까?,2009-09-09,2555,2895703
618,공사시공자를 변경하는 경우 전 시공자의 포기각서나 동의서가 필요한가요?,2009-09-09,1610,2896040
619,세입이 뭔가요?,2009-09-09,112,2895704
620,세출이 뭔가요?,2009-09-09,99,2895705
621,일시차입금이 무엇인가요?,2009-09-09,1108,2895706
622,채무부담행위가 무엇인가요?,2009-09-09,1784,2895707
623,지난년도 수입이란 무엇인가요?,2009-09-09,1460,2895708
624,지난년도 지출이란 무엇인가요?,2009-09-09,373,2897298
625,행정운영경비가 무엇입니까?,2009-09-09,849,2895701
626,인력운영비가 뭔가요?,2009-09-09,387,2895709
627,"자연경관지구안의 건폐율,용적률은?",2009-09-09,9314,2895052
628,공무원 노조는 어떻게 운영되고 있나요 ?,2009-09-09,429,2896447
629,기본경비란 무엇입니까?,2009-09-09,562,2895700
630,복식부기회계제도란?,2009-09-09,329,2895710
631,생산자책임재활용제도(EPR)란?,2009-09-10,4811,2898001
632,혹시 구청에서 우편접수도 하나요?,2009-09-10,454,2897716
633,토지위에 등기된 건축물이 실재로 존재하지 않고 있는데 등기가 있어요. 어떻게 해야 하나요?,2009-09-11,460,2896256
634,건축물관리대장상 업무시설로 되어 있는 부분중 일부를 의원으로 사용하고자 합니다.?,2009-09-11,725,2895094
635,초등학교생 숙제인데 노원구에 관련된 자료를 받을 수 있나요 ?,2009-09-11,120,2895800
636,구정을 알 수 있는 자료들을 찾아볼 수 있나요 ?,2009-09-11,95,2895799
637,공용건축물의 건축방법은?,2009-09-14,476,2896151
638,여행화장실은 무엇인가요?,2009-09-14,667,2894594
639,월차를 한꺼번에 쓸수 있나요?,2009-09-14,514,2897785
640,자활근로 참여자인데 근무지를 변경하고 싶습니다.,2009-09-14,467,2897787
641,조건부수급자인데 자활사업 참여를 하지 않으면 어떻게 되나요?,2009-09-14,13708,2897789
642,"노인의료복지시설(요양시설, 노인요양공동생활가정)의 시설기준 및 직원배치기준은?",2009-09-14,14951,2898230
643,등기부등본상 공동명의로 된 물건으로 사업자 등록이 가능한 가요 ?,2009-09-14,702,2897189
644,"획지계획의 변경이 구도시계획위원회 심의대상인지, 최대 개발규모를 초과하는 공동건축의 경우는 도시계획의 변경 제한규정을 적용받는지",2009-09-14,774,2894569
645,근무시간은 어떻게 되나요?,2009-09-14,1207,2897791
646,인접필지와 공동건축을 계획하였을 경우 건축허가(증축/대수선) 여부,2009-09-14,655,2894570
647,토지 합병 절차,2009-09-14,1586,2894568
648,주민소득지원및생활안정기금 대상은 어떻게 되나요?,2009-09-14,415,2897792
649,CPTED란 무엇인가요?,2009-09-14,2351,2895830
650,주민소득지원및생활안정기금 융자 조건은 어떻게 되나요?,2009-09-14,597,2897794
651,핸드폰 문자로 문화공연등 정보를 받고 싶습니다.,2009-09-14,243,2896564
652,특별계획구역의 블록별 세부개발계획 입안이 가능한지,2009-09-14,1918,2894571
653,행정정보연계 문서가 안 넘어옴,2009-09-14,458,2898238
654,공직자윤리위원회의 주요기능은 무엇입니까?,2009-09-14,293,2898225
655,광진구 능동로 디자인서울거리(1차) 주요사업 내용이 궁금합니다.,2009-09-14,561,2895732
656,건축허가&amp;amp;gt;발코니 설치관련,2009-09-14,2499,2895270
657,설계자란?,2009-09-14,558,2894597
658,설계도서란?,2009-09-14,4078,2895271
659,공사감리자란?,2009-09-14,635,2894596
660,관계전문기술자란?,2009-09-14,2284,2894595
661,누군가가 제 메일계정에 접속하여 메일을 읽어보고 있습니다. 그 사람이 누구인지 찾아 처벌하고 싶습니다.,2009-09-14,993,2896565
662,특정단체에 대해 인터넷 게시판에 비방？허위사실을 유포하면 명예훼손으로 처벌이 가능한가요?,2009-09-14,2826,2896563
663,새마을금고 정관의 기재목록은?,2009-09-14,657,2897795
664,새마을금고 창립총회의 의결 조건은?,2009-09-14,245,2897774
665,새마을금고의 회원 수는 몇명 이상인가?,2009-09-14,225,2897775
666,소년소녀가장을 돕고 싶은데 어떻게 도울수 있나요?,2009-09-14,1615,2898224
667,새마을금고 총회를 갈음할 대의원의 임기는 몇년인가?,2009-09-14,1382,2897776
668,새마을금고 임원의 수는?,2009-09-14,321,2897777
669,구정현황을 책자로 볼 수 있나요?,2009-09-14,247,2895406
670,종로구에 설치된 위원회 현황을 알고 싶습니다.,2009-09-14,206,2895733
671,임원의 임기는?,2009-09-14,284,2897778
672,설립인가를 받은 후 언제까지 등기를 하여야 하나요?,2009-09-14,157,2897779
673,설립인가 취소되는 경우는?,2009-09-14,168,2897780
674,총회나 이사회의 의결이 필요한 사항에 대하여 의결을 거치지 않고 집행한 경우의 벌칙은?,2009-09-14,144,2897781
675,불연재료란?,2009-09-14,2155,2894593
676,아파트 단지내 테니스장을 배드민턴장 등 유사 운동시설로 변경이 가능한지요?,2009-09-14,1261,2895311
677,단지내 주민운동시설을 주차장으로 변경이 가능한지요?,2009-09-14,731,2895312
678,안전도 검사 대상 광고물?,2009-09-14,527,2897717
679,아파트 담장을 철거할 경우 허가를 받아야 하나요?,2009-09-14,2068,2895309
680,복지네트워크구축을 위한 방법은?,2009-09-14,324,2897891
681,금천희망나눔 이야기 책자에서 사연을 읽고 도움을 주고자 합니다. 어떻게 하면 되나요?,2009-09-14,396,2898226
682,공모기간 및 방법은?,2009-09-15,165,2897782
683,보조금심의위원회 위원 수 및 임기는?,2009-09-15,114,2897796
684,건축과에서 하는 일은 무엇입니까?,2009-09-15,1126,2896258
685,지하수 원상복구(폐공) 절차는 어떻게 되나요?(,2009-09-15,3965,2895856
686,지식재산권이 무엇인가요?,2009-09-15,299,2897299
687,건축관계변경시 도면제출 여부는,2009-09-15,229,2896261
688,사용승인시 공동건축주 전원의 동의 여부,2009-09-15,194,2896262
689,공동소유 건축물을 일반건축물로 변경할수 있는지?,2009-09-15,332,2896263
690,"천재, 지변등 긴급사태가 끝난경우(지하수개발이용의 경우)",2009-09-16,187,2895789
691,아파트형공장에 식당으로 임차하고 싶은데 건축물대장을 어떻게 해야 하나요?,2009-09-16,283,2895092
692,사회단체에 대한 보조사업 및 보조금의 지원범위는?,2009-09-16,457,2897092
693,실손보상형 상품에서 실손보상이 무슨 뜻인가요 ?,2009-09-16,376,2896240
694,조사된 내용이 과세자료에 쓰여지는 것은 아닌가요?,2009-09-16,113,2897093
695,보건복지서비스 연계의 내용은 어떤것이 있나요?,2009-09-16,541,2894705
696,1명의 관리사무소장이 분양된 공동주택 2개단지를 관리하여도 됩니까?,2009-09-16,208,2897190
697,건축물대장 합병신고 시 근저당이 있을 때 가능유무 ?,2009-09-16,717,2895233
698,토지보상금은 어떤 기준으로 결정되나요.,2009-09-16,671,2897094
699,토지의 일부분만 도로에 편입되는 경우 보상은 어떻게 이루어 지나요?,2009-09-16,2594,2897095
700,등기부등본상 소유권 이외의 권리(근저당 등)가 있는 경우 보상방법은?,2009-09-16,346,2897096
701,보상금이 너무 적어서 불만입니다.,2009-09-16,339,2897097
702,보상협의 계약 구비서류 및 보상금 수령은?,2009-09-16,587,2897098
703,광진구에 있는 기금의 종류는 어떤것이 있나요?,2009-09-16,266,2895791
704,재정자립도가 무엇인가요?,2009-09-16,1523,2895794
705,안전인증이 없는 불법전기용품 판매자는 어떤 처벌을 받습니까?,2009-09-17,3680,2894916
706,경미한 전기 공사는 전기업자가 아니어도 시공 할 수 있다는데 어떠한 공사일 경우에 해당되는지요,2009-09-17,3987,2897958
707,공무원이 공동 주택의 입주자 대표회의의 대표직을 맡고자 할 경우 사전에 소속기관장의 겸직허가를 받아야 하는지?,2009-09-17,876,2895915
708,녹색성장이란 무엇입니까?,2009-09-17,371,2895916
709,기금제도는 왜 필요한가요?,2009-09-17,123,2897301
710,서대문구 면적이 얼마나 되나요?,2009-09-17,1660,2897255
711,도시계획시설에는 어떠한 것들이 있습니까?,2009-09-18,159,2897099
712,도시계획시설부지로 지장물이란 무엇을 의미합니까?,2009-09-18,5433,2897100
713,베란다 확장 불법인가요?,2009-09-18,12463,2895917
714,도시계획시설부지에 편입된 물건의 감정평가기관을 추천할 수 있는지?,2009-09-18,190,2897101
715,도시계획사업으로 토지보상시 감정평가 기준은 무엇입니까?,2009-09-18,709,2897102
716,도시계획시설부지에 포함된 물건의 보상계획은 어떻게 알 수 있습니까?,2009-09-18,106,2897103
717,도시계획시설부지에 편입된 보상물건 평가금액은 유효기간이 어떻게 되는지?,2009-09-18,201,2897104
718,도시계획시설 사업인정은 언제부터 효력이 발생합니까?,2009-09-18,157,2897105
719,도시계획시설에 편입된 보상물건의 재결신청 청구는 몇일 이내에 해야 하나요?,2009-09-18,151,2897106
720,"신축공사중에 공사시공자, 감리자를 변경할 시에는 변경전 감리자의 동의서가 필요한지요?",2009-09-18,2475,2895232
721,건설업 법인합병신고 처리 절차를 알고 싶습니다.,2009-09-18,318,2898198
722,생활불편민원 신고하려면 어디로 해야하나요?,2009-09-18,1554,2897070
723,정책자료집이란 무엇입니까?,2009-09-18,1376,2895918
724,도시계획시설 재결신청은 어떻게 합니까?,2009-09-18,248,2897108
725,공동주택관리의 적용범위는?,2009-09-18,3296,2894901
726,어려운 가정에 중고TV가 필요한 경우??,2009-09-18,158,2896248
727,도시계획시설부지 재결신청 이후 진행단계는 어떤 과정을 거칩니까?,2009-09-18,213,2897109
728,도시계획시설부지의 재결과정에서는 의견을 제출할 수 없는지요?,2009-09-18,167,2897110
729,도시계획사업으로 철거되는 건물에 거주하는 사람은 어떻게 됩니까?,2009-09-18,217,2897112
730,가정보육시설은 시설장이 보육교사를 겸할수있는지?,2009-09-18,362,2897113
731,도시계획시설부지에 포함된 건물보상금액의 불만입니다.,2009-09-18,141,2897114
732,도시계획시설 부지의 이의재결이란 무엇입니까?,2009-09-18,331,2897115
733,도시계획시설 부지에 포함된 건물에서 임대업을 하고 있습니다. 보상받을 수 있는지요?,2009-09-18,194,2897116
734,통보전접수,2009-09-18,166,2897073
735,민원사항이 있는데 어떻게 사용승인(준공)이 나갈 수 있나요?,2009-09-18,686,2895755
736,이름을 밝히지 않고 민원을 내려고 합니다. 꼭 접수해주세요.,2009-09-18,284,2895756
737,생활불편민원을 접수시 구청에서 해결할 수 없는 민원은 어떻게 하나요?,2009-09-18,863,2897074
738,민원을 제출하면 피민원인에게 신고사실이 누설되지는 않나요?,2009-09-18,1401,2895757
739,진정민원을 제출해야 하는데 꼭 서면으로 해야하나요?,2009-09-18,614,2895758
740,누군가 우리집에 악의를 갖고 민원을 냈는데 누가 그랬는지 반드시 알아야겠습니다.,2009-09-18,281,2895759
741,광진구 성폭력 예방교육을 하고 있나요?,2009-09-18,517,2897798
742,건축과에 무단증축을 민원을 제기했는데 민원인의 인적사항을 요구합니다. 꼭 필요한 것인가요.,2009-09-18,397,2895760
743,여러 사람의 연명부를 받아 민원을 제출하려고 하는데 원본은 제가 보관하고 사본을 제출하려고 합니다. 그래도 이상 없나요?,2009-09-18,485,2895761
744,주차관리과에 부설주차장 관련 민원을 제출했는데 왜 감사담당관에서 민원관련 안내를 하나요?,2009-09-18,294,2895762
745,민원해결방이란 무엇인가요?,2009-09-18,308,2895763
746,진정민원 제출시 증빙서류를 받을수 있나요?,2009-09-18,363,2895764
747,계약체결 형태에 따른 분류?,2009-09-18,251,2895549
748,수의계약의 유형별 구분은?,2009-09-18,428,2895546
749,공무원 4대 금지사항,2009-09-18,6684,2897077
750,공무원 6대 의무사항,2009-09-18,10940,2897078
751,행정박물의 경우 어떤 유형들이 있나요?,2009-09-18,88,2898043
752,지방재정관리제도 란?,2009-09-18,267,2895548
753,지방공무원복무규정 제10조에 의하여 금지되는 영리업무,2009-09-18,1372,2897079
754,공무원 겸직허가 기본원칙,2009-09-18,9269,2897080
755,기획순찰이란 어떤업무인가요?,2009-09-18,248,2897057
756,공무원 품위유지가 무엇인가?,2009-09-18,1999,2897058
757,초등학교 통학로점검은 어떤내용인가요?,2009-09-19,288,2897059
758,버스/택시 정류장 관리실태 점검은 어떤 내용인가요?,2009-09-19,865,2897060
759,주요 공사장 안전관리실태 점검내용은 무엇인가요?,2009-09-19,395,2897062
760,여행 및 장애인 편의시설 관리실태 점검은 어떤내용인지요?,2009-09-19,328,2897063
761,기소유예는 어떤 내용인가?,2009-09-21,376,2897157
762,동행정서비스헌장,2009-09-21,241,2897960
763,상습 노상방뇨 관련사항도 구청으로 신고하면 되나요?,2009-09-21,2380,2897056
764,고시와 공고의 차이는?,2009-09-21,15831,2897191
765,환경단체 등록 및 보조금 신청,2009-09-21,257,2894824
766,고아원 입소 ?,2009-09-21,2797,2897396
767,광진 환경기본계획은 몇년 주기로 발간됩니까?,2009-09-21,370,2894825
768,광진 환경기본계획은 무엇입니까?,2009-09-21,120,2894823
769,시장정비사업추진계획의 신청절차및 계획 수립시 포함 되는 내용,2009-09-21,1631,2897862
770,성매매지원자 피해시설이 광진구에 있나요?,2009-09-21,465,2897799
771,위반건축물에 대하여 시정공문을 받고 자진정비할 경우 어떻게 해야하나요?,2009-09-21,250,2897158
772,창동민자역사 분양에 관한 문의,2009-09-21,781,2896478
773,베란다에 투명자재로 설치하면 항측에 나타나지 않나요?,2009-09-21,381,2897159
774,도시계획사업구간에 편입되어 철거되는 국민임대주택은 어떻게 결정되나요?,2009-09-21,328,2897160
775,연장승인 신청은 몇번이 가능한가요?,2009-09-21,252,2894506
776,유류 유출사고시 조치요령,2009-09-21,955,2895120
777,창업지원센터 교통편은?,2009-09-21,300,2896450
778,무료로 집도 고쳐주나요?,2009-09-21,182,2895130
779,디자인위원회 구성인원은 몇명인가요?,2009-09-21,267,2895300
780,디자인위원회 심의 의뢰 시 구비서류는 무엇입니까?,2009-09-21,338,2895299
781,저소득 한부모가정 건강보험료 지원은 어떻게 되나요?,2009-09-21,3816,2897801
782,저소득 한부모가정 취업지원 신청은 어떻게 하나요?,2009-09-21,2632,2897802
783,건축물대장의 전환?,2009-09-21,632,2898156
784,기업애로 직소창구 이용방법은?,2009-09-21,283,2895212
785,부정한 방법으로 건설업등록시 처벌규정과 처벌요구 방법은 무엇인가요?,2009-09-21,460,2896231
786,직무관련자란 구체적으로 누구를 말하는가?,2009-09-22,214,2897961
787,민원인이 직무관련자에 해당하는 공무원의 범위는?,2009-09-22,273,2897962
788,점검. 단속 등의 대상자가 직무관련자가 되는 경우?,2009-09-22,108,2897963
789,선물이란 무엇입니까?,2009-09-22,84,2897964
790,향응이란 무엇입니까?,2009-09-22,3957,2897926
791,"보금자리주택이란? (국토교통부, 한국토지주택공사 업무임)",2009-09-22,4579,2895919
792,건축허가제한구역 제한사항?,2009-09-22,852,2895920
